user,community,avg_sent
01misterdom,0,-0.108147696
asda,0,
0x1ac,1,-0.070404574
Tesco,1,0.98107
106_barry,1,-0.6664793
11122X,1,-0.8714198
128beatspm,1,-0.84114194
135_JD,1,-0.7865341
16moonchild,5,-0.93439853
lm_stayfree,5,-0.9167204
1863Karen,1,0.8198883
1982loula,1,0.04568547
1985adw,3,-0.927707
ChrisGPackham,3,
1999jacko,1,-0.86932147
19philwalker,1,-0.5726865
1Guster,1,-0.8185034
1Lambourne,1,-0.7497746
1ina_millie_on,1,-0.9397077
1kilroywashere,1,-0.31099352
1stGenDairyFarm,4,-0.24449909
wigsandwords,4,-0.33046538
1steveriley,1,0.002721455
1stpeneloperose,1,0.972954
2020Smiles,1,-0.22276707
20Number10s,0,-0.30977592
marciabigg,0,0.94998735
22Pdc,0,-0.5887963
sainsburys,0,-0.8060522
230_section,1,-0.547607
2409tull,5,-0.8359602
NicolaClareP,5,-0.14477107
27m87s,1,-0.14159319
2Bicarb,1,0.046808444
2Rustyfirth,6,-0.5678279
Protect_Wldlife,6,
2_Wheeled_Wolf,7,0.1527832
TechnoTim2011,7,
commuteroo,7,
linkcott18,7,
2mum4,1,-0.8915313
3381Gabriel,1,-0.876942
3Luser,8,-0.38887158
julesaf68,8,0.06360407
3inaboat,1,-0.7125928
48_enever,9,-0.90310895
4a6d65,1,-0.92391276
4hopeandhealth,10,0.07311964
Annakwood,10,0.097099125
KatyBruce108,10,
4peatssake2,0,-0.4253653
Pledge2Recycle,0,
livinggentler,0,
515mm,0,0.24804673
Ocado,11,-0.14798489
PCSoblahdeehell,0,0.19036551
markpalexander,0,
snigskitchen,0,-0.0046685287
waitrose,0,
524hudson,1,-0.84061974
52Kii,1,-0.9204306
54321Mak,1,-0.89917916
55rach,1,-0.19213566
55sharon,1,-0.3677943
5arah_Marshall,1,-0.8854989
5daisydooo,1,-0.55900383
5drogue5,0,-0.46071434
Channel4,0,
5ouv,12,-0.61111027
AsdaServiceTeam,12,-0.4081996
5serena5,0,0.06972828
LCoyle_Comms,0,0.39621857
5teenagekidDad,5,-0.43920103
Ishmasquish,5,-0.42491537
67Notorious,1,-0.41742846
69polaris69,1,-0.90428543
6milesup,13,0.97985846
dubtech,13,
notaylott,13,
6pmIsWineTime,1,-0.0626073
6xHkbFp1GVwIoHv,14,0.8442397
The_Nolans,14,0.89755464
70_schick,1,-0.8508456
71GarySmith,1,-0.9037389
72Fraser,1,-0.7552187
747CWD,0,-0.858051
BorisJohnson,0,
75shelley,1,0.050314546
77sylvia,1,-0.91752017
83Diane,0,-0.9055432
86OCN,1,-0.82633066
928GT_DStelling,15,-0.88790184
harrym_vids,15,-0.52822864
93beckah,1,-0.57325256
94OUTERSPACE,16,-0.12589361
Rorymcmonagle,16,-0.9107252
riordan_callum,16,
9chrisrowlands,3,-0.8556592
A51UK,1,-0.25363857
ADINSTALL,1,0.7082199
AEBrid556,3,-0.9228515
AEddieB,1,-0.9068909
AF1D0N,1,-0.26845542
AFC_Aaron_,1,0.3810296
AFC_jay_0,0,0.20912692
michaelfollett,0,-0.4265468
AGH1494,17,-0.39083374
Smudgeboy99,17,-0.064890295
AJBondway,0,0.21589366
EstherMcVey1,0,
AJD_1975,1,-0.36146846
AJ_Lakes,1,0.97001386
AMFC1978,1,0.8255215
AMJ_62,5,-0.22668537
thatginamiller,5,
AManDelorean,1,-0.60646224
AMaropoulou,1,0.3723489
ANDYTAYLOR128,18,0.042497486
ANGELBABE16,1,0.08478322
ANormal88170917,14,-0.87078416
WelshGovernment,14,
AP_Loosh,1,-0.8362506
ARotval,1,-0.88929427
ASmallEyedAsian,19,-0.29145202
BANKIEBEAR2,19,
Fullmetalfury98,19,
ATG_TA,20,-0.42316803
NewMumOnline,20,-0.18431506
AVFCEM,14,-0.79050064
nicholasmith6,14,-0.017173588
AW0079,1,0.051514365
AWaheed_sr,1,-0.83096457
A_Bookish_Girl,0,-0.48150173
A_MWatts,1,-0.6586901
A___a_BTS,21,0.9835241
UKBTSARMATION,21,0.48363414
AamaniFahiya,1,-0.86902744
Aaron_FitnessPT,1,-0.80905145
Aaronvegan,22,0.8564468
lauretteSchoema,22,0.9193443
AbbieWightwick,1,-0.9117471
Abbie_Martin_,23,-0.8956731
Abbie_Rose19,24,0.41185775
TeamKnowhowUK,24,0.11562812
AbergeIe,1,-0.6512937
AbiCass1,11,-0.94791603
Nazmameah1,11,
AbiGoulding13,1,-0.205392
AbigailCx_x,25,0.105056785
davewilliams_97,25,
AbigailLucy_,26,0.966329
SallyBallyBear,26,-0.86663425
AbigailSellors,1,-0.92830825
AbroadScotsman,27,-0.5081562
AndrewKnight226,27,
AbsMerali,1,-0.84131217
ActionM98917267,1,-0.3776949
ActionRspca,1,-0.6679455
Ada_Daddyya,14,-0.7517513
kt1515123,14,0.5879702
AdamBarlow78,1,-0.6922153
AdamBryant_1,1,-0.6912972
AdamCra41966273,28,-0.39554748
AdamDUBDay,1,-0.69932365
AdamFord1234,1,-0.91996676
AdamIsSavage2,29,-0.91448134
Covidshop1,29,
AdamJono36,1,-0.41133243
Adam_Bebb,14,-0.19198649
Year5KS2,14,-0.93514603
delphzzzz,14,
Adam_Sloman,1,-0.7193055
Adamiscrazylol,1,0.3469469
Adaz_jon,1,0.14708433
AdequatelyEmily,1,-0.67221206
AdrianWalker4,1,-0.79515064
Adrian___Harvey,30,-0.49827233
OLIO_ex,30,0.5990531
delia_gadea,30,0.76987034
AdultSpectrumTW,1,-0.2121262
Afilwmm,0,0.48972908
RishiSunak,0,
Aganoo_,31,0.57264787
I_like_roblox78,31,
AgeUKLS,32,0.6301263
Food2You_,32,
AggyMan,33,0.23526561
lynda_lynda178,33,0.76589596
AgnesGitau,1,-0.54849267
AgreeT0D1sagree,34,-0.9352526
annalisamagri,34,-0.22560877
Agyegram,1,0.944616
Ahhhlexander,35,0.09277399
AniroC_2,35,0.044109877
ChunhuaMs,35,
RussellMoxham,35,0.010928378
VanessaFiji,35,0.022242699
banpalmoil,35,
weaniejeanie53,35,-0.11101553
AilidhBarnes,1,-0.8099791
Aimee_Gough,1,-0.78069794
AirAmBird53,36,0.8660365
Dorset_Dad999,36,0.5306471
AirtimeRewards,37,0.9797357
Cherryp13,37,
KatieMcL84,37,
AishaTass,1,0.2292339
AjayBasin1,0,-0.7563233
AldiUK,0,0.6065392
Ajaygolmalgobi,1,0.42057532
AkhtarLisa,38,0.85803974
NessaTahmin,38,0.9817846
AlSantoli,39,-0.36112908
Click084,39,-0.4432895
AlanDaviesbirds,15,-0.1727479
AWPRCO,15,
BenHandleyChef,15,
DailyMirror,15,
MailOnline,15,
RTfarmers,15,
RedTractorFood,15,
TheSun,15,
tesconews,15,0.9086372
AlanDuncan1971,40,0.35115695
Jen4Scot,40,
AlbaM007,34,-0.93656015
Alby,0,0.28664076
IanHopkinson_,0,0.96647656
Morrisons,0,-0.0035517812
MrsLLyons,0,
RichieUK_TTV,0,-0.92285156
AldousDHuxley1,41,-0.19437759
jamesmurden,41,0.88411635
Ale_n_Metal,42,0.37954015
the_big_davee,42,-0.53751916
AleexM12,1,0.8908113
Alessan56591006,5,-0.87324476
hmtreasury,5,
AlexCarter001,1,-0.6370717
AlexJTudor,43,-0.35497144
BarneyAllen,43,-0.067865804
AlexSerious,44,-0.7558068
GDogg_86,44,
rmason316,44,
AlexWood_Barton,1,-0.63575333
Alexand48075077,41,0.91134
Alexander_LBRY,0,-0.4490234
ChrisMDSmith79,0,
btnFan2020,0,
ge0_ff,0,
suzysasha,0,
Alexandra1964F,45,-0.2175032
LeonTutty,45,0.2048255
girlyswotspider,45,-0.02991791
AlexandraAnneMU,1,-0.036878824
AlexandraOtley,1,-0.6185417
Ali52711346,1,-0.7958321
Ali89_91,46,0.3689765
Alisongwen1,46,0.07772585
Hector_Shar_Pei,46,0.20928515
MadleeRage29,46,0.12233132
Oh_Alby,46,
drury_lorna,46,
fun_puggy,46,
hollyrustipug14,46,
kath_gunn,46,0.56475556
Ali_8k,1,-0.72482955
AlibumD,1,0.22211751
Alicatt_,1,0.17607689
AliceBritton15,0,-0.37995508
AndyBurnhamGM,0,0.6385094
EventsIndustry2,0,
MetroMayorSteve,0,
bluecollartory_,0,0.95680207
AliceConstance,1,-0.9299872
Alicebellamy,0,0.24562134
ExcludedUK,0,
ForgottenLtd,0,
socketman69,0,0.06850364
AlishaLangley,47,0.13189037
ScottGretton,47,
AlisonF60100268,48,0.9638538
AlisonL40957870,1,-0.4159205
AlisonPartridg4,1,-0.7916462
AlisonWCats,1,-0.20213993
Alisonmcneill,1,0.9829119
Alixxx1989,1,0.51874065
AllBirdsWiki,1,-0.74173546
AllOnMalone,1,-0.59157115
All_Things_New_,49,0.748495
AllanClarke1,1,-0.8252014
AllanGarside3,50,-0.8582055
altrinchamhq,50,0.3804425
Allie_Bky,1,-0.41899288
AllurinAssassin,1,-0.901288
Ally1889,0,-0.46798176
liamkay1986,0,
Allylate,1,0.893364
AlphaVtec0,1,-0.8760631
AlphonsoGregary,1,-0.7996242
AmandaDiMaida1,14,-0.8014735
AmandaHunter10,14,-0.34613016
AmbainbridgeM,1,-0.5683204
AmbridgeOrganic,1,-0.7540066
AmeliaWorsley,1,-0.9258692
AmershamGal,1,0.2378352
AmyAmybradbury,1,0.0993963
AmyB_81,1,0.97402877
AmyHollandSmith,1,0.04418898
AmyLTP,0,0.93529695
AmyScurr,51,-0.8795399
DeeClinSci,51,-0.6514981
Amy_S_Leake,1,-0.9177234
Amydoyl387,52,0.97173643
saucy_mahi,52,
Amzn_freegifts,53,0.58692604
greigo_uk,53,0.650188
An6yNicholls,1,0.5263008
AnCruiscinLan,1,-0.8742524
AnalogueDevices,1,-0.17273484
Andlil,1,-0.86200523
Andorswolfguard,1,-0.7819748
Andree1990,1,0.9645742
AndrewArnott,54,-0.5089872
AndrewCooper319,55,-0.6550575
carrieb50,55,
AndrewDowson,5,-0.41205418
THE_LHC,5,
notgavin,5,
AndrewH63966194,15,-0.62294817
TWBFarms,15,
johnwilson_1972,15,
AndrewOReilly88,1,-0.8668511
AndrewW66619812,0,-0.371756
Andy47391359,1,-0.0042465627
AndyCinIpswich,1,0.9184292
AndyEMorrison,56,-0.7566583
CalumAM,56,
AndyEastAnglia,57,-0.8269974
cowjam,57,-0.56442046
AndyGoo25313940,41,-0.80428463
AndyKenny27,58,0.9689697
IanLynas72,58,0.9293787
AndyMitche11,59,-0.84553695
happyguy197120,59,-0.88013107
AndyOsira,1,-0.06856623
AndyStill11,1,0.19347
AndyT1888Bhoy,45,0.037176877
soapachu,45,-0.63670474
AndyTaurus,60,-0.7986253
Sulian102,60,
AndyTayDrew,0,-0.88516957
GeneralGammon,0,
AndyTheTaxi,61,-0.69921595
CarlaSpade,61,
AndyThomas,62,0.15508255
LozzaFox,62,
Andye1975,1,0.03776724
Andytaylor2001,1,-0.005824793
Andyuk76,1,-0.91563195
AnfilogoffSally,1,-0.9356581
AngelM16,1,-0.86912173
Angela5784,63,0.9498599
PoppySoldatos,63,0.94958293
AngelaH58,1,-0.3905918
AngelaJones2012,1,-0.83378905
AngelaLCooke,1,-0.27006188
AngelaT50,1,-0.8694049
AngharadHafod,15,-0.9125277
Angie64255055,1,0.43004203
AngieBeatDown,64,0.8342449
Angie_RejoinEU,43,-0.63867074
likesretirement,43,
Anglophile813,65,0.9818203
hscrutton,65,
thebakingnanna1,65,0.6920048
